,station name,name,address,category,rating,review count
377,16. Frajese,Biovita,Via Massetana Romana 54,"Cafeteria, Health Markets, Vegetarian",5.0,1.0
378,16. Frajese,BAR Il Barrino,"Str. Massetana Romana, 5",Bars,5.0,2.0
379,16. Frajese,BAR dei Mantellini di Melani Fabiola,"Via Piano dei Mantellini, 22",Bars,5.0,1.0
380,16. Frajese,Nannini,Via Banchi di Sopra 24,"Cafeteria, Italian, Cupcakes",2.0,1.0
381,16. Frajese,Fontebranda,Via di Fontebranda 73,Landmarks & Historical Buildings,4.0,2.0
382,17. Mercato,La Taverna di San Giuseppe,Via Giovanni Dupre 132,Tuscan,5.0,158.0
383,17. Mercato,La Prosciutteria,Via di Pantaneto,"Wine Bars, Tuscan",4.5,34.0
384,17. Mercato,Il Bargello,Via di Citta' 53,"Bars, Trattorie, Tuscan",4.5,21.0
385,17. Mercato,Antica Trattoria Papei,Via del Mercato 6,"Tuscan, Trattorie",4.0,34.0
386,17. Mercato,Numero Unico,Via di Citta 125,Italian,4.5,17.0
387,17. Mercato,Ri.Me.,Via Giovanni Duprè 90,Tuscan,4.5,15.0
388,17. Mercato,Nannini,Via Banchi di Sopra 24,"Desserts, Patisserie/Cake Shop, Cafes",4.0,20.0
389,17. Mercato,Gallo Nero,Via del Porrione 65,Tuscan,4.5,10.0
390,17. Mercato,Duomo di Siena,Piazza del Duomo 8,"Landmarks & Historical Buildings, Churches",5.0,39.0
391,17. Mercato,Zest,Costa di Sant'antonio 13,"Italian, Wine Bars",4.5,25.0
392,17. Mercato,Ostaria dá Cice,Via San Pietro 32,Italian,4.0,13.0
393,17. Mercato,Antica Osteria da Divo,Via Franciosa 25,Italian,4.0,62.0
394,17. Mercato,Prètto,Via dei Termini 4,"Salumerie, Cheese Shops, Tuscan",4.0,12.0
395,17. Mercato,Mugolone,Via dei Pellegrini 8,"Italian, Gluten-Free",5.0,7.0
396,17. Mercato,Vi Vace,Via Stalloreggi 64,"Pizza, Italian",4.5,33.0
397,17. Mercato,Pizzicheria de Miccoli,Via di Città 95,Pizza,4.5,25.0
398,17. Mercato,Ristorante San Desiderio,Piazza L. Bonelli 2,Italian,4.0,15.0
399,17. Mercato,Taverna di Cecco,Via Cecco Angliolieri 19,Tuscan,4.5,50.0
400,17. Mercato,Bio & Chocolate,Via Pantaneto 75,"Cafes, Desserts, Vegan",5.0,6.0
401,17. Mercato,Osteria Le Logge,Via del Porrione 33,Italian,4.0,32.0
402,18. Tufi,Antica Salumeria Salvini Ciofi Soccol e Zanolli,"Str. Statale 73 Ponente, 46",,3.0,1.0
403,18. Tufi,Il Tocco,Via Cassia Sud 122,"Pizza, Cafes, Tuscan",4.0,2.0
404,13. Calamandrei,Dopolavoro La Foce,Strada della Vittorio 90,"Italian, Bars",5.0,4.0
405,13. Calamandrei,la veranda,Piazza Calabria,Italian,4.5,6.0
406,13. Calamandrei,Skile' Music Bar,Piazza Calabria 18,Cafes,3.0,1.0
407,19. Petriccio,Hotel Garden,Via Custoza 2,"Venues & Event Spaces, Hotels, Italian",3.0,13.0
408,19. Petriccio,la veranda,Piazza Calabria,Italian,4.5,6.0
409,19. Petriccio,Mc Donald's,Via Fiorentina 124,"Fast Food, Burgers",2.0,1.0
410,19. Petriccio,Fontebecci,Via Fiorentina 133,"Pizza, Italian",2.0,2.0
411,19. Petriccio,Bar Cecco,Viale Camillo Benso Conte Di Cavour,"Cafes, Fast Food, Pizza, Coffee & Tea",3.0,3.0
412,19. Petriccio,Skile' Music Bar,Piazza Calabria 18,Cafes,3.0,1.0
